Sentence length: 5
[2019-04-28 00:40] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 3168.22, Accuracy = 0.13, Loss = 2.303
[2019-04-28 00:40] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 17051.64, Accuracy = 0.62, Loss = 1.058
[2019-04-28 00:40] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 16873.18, Accuracy = 0.74, Loss = 0.782
[2019-04-28 00:40] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 16891.23, Accuracy = 0.80, Loss = 0.610
[2019-04-28 00:40] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 16857.82, Accuracy = 0.51, Loss = 0.858
[2019-04-28 00:40] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 16942.40, Accuracy = 0.50, Loss = 0.876
[2019-04-28 00:40] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 16962.21, Accuracy = 0.57, Loss = 0.903
[2019-04-28 00:40] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 16875.30, Accuracy = 0.70, Loss = 0.606
[2019-04-28 00:40] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 16902.93, Accuracy = 1.00, Loss = 0.079
[2019-04-28 00:40] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 16924.78, Accuracy = 1.00, Loss = 0.085
[2019-04-28 00:40] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 16971.86, Accuracy = 0.93, Loss = 0.151
[2019-04-28 00:40] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 16816.63, Accuracy = 0.94, Loss = 0.073
[2019-04-28 00:40] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 16971.86, Accuracy = 0.98, Loss = 0.053
[2019-04-28 00:40] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 17150.78, Accuracy = 1.00, Loss = 0.002
[2019-04-28 00:40] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 17141.47, Accuracy = 1.00, Loss = 0.001
[2019-04-28 00:40] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 17171.08, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 17180.42, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 17048.39, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 1800/10000, Batch Size = 128, Examples/Sec = 17117.97, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 1900/10000, Batch Size = 128, Examples/Sec = 17136.55, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2000/10000, Batch Size = 128, Examples/Sec = 17086.92, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2100/10000, Batch Size = 128, Examples/Sec = 16999.27, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2200/10000, Batch Size = 128, Examples/Sec = 16987.97, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2300/10000, Batch Size = 128, Examples/Sec = 17030.55, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2400/10000, Batch Size = 128, Examples/Sec = 17049.47, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2500/10000, Batch Size = 128, Examples/Sec = 17021.37, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2600/10000, Batch Size = 128, Examples/Sec = 16964.35, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2700/10000, Batch Size = 128, Examples/Sec = 17132.72, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2800/10000, Batch Size = 128, Examples/Sec = 17083.65, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 2900/10000, Batch Size = 128, Examples/Sec = 17034.33, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 3000/10000, Batch Size = 128, Examples/Sec = 17099.98, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 3100/10000, Batch Size = 128, Examples/Sec = 17057.60, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 3200/10000, Batch Size = 128, Examples/Sec = 17009.50, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 3300/10000, Batch Size = 128, Examples/Sec = 16891.76, Accuracy = 0.48, Loss = 1.071
[2019-04-28 00:40] Train Step 3400/10000, Batch Size = 128, Examples/Sec = 16888.04, Accuracy = 0.93, Loss = 0.322
[2019-04-28 00:40] Train Step 3500/10000, Batch Size = 128, Examples/Sec = 16982.60, Accuracy = 0.98, Loss = 0.135
[2019-04-28 00:40] Train Step 3600/10000, Batch Size = 128, Examples/Sec = 16912.52, Accuracy = 1.00, Loss = 0.063
[2019-04-28 00:40] Train Step 3700/10000, Batch Size = 128, Examples/Sec = 16940.80, Accuracy = 1.00, Loss = 0.026
[2019-04-28 00:40] Train Step 3800/10000, Batch Size = 128, Examples/Sec = 16921.58, Accuracy = 0.97, Loss = 0.084
[2019-04-28 00:40] Train Step 3900/10000, Batch Size = 128, Examples/Sec = 16909.85, Accuracy = 1.00, Loss = 0.007
[2019-04-28 00:40] Train Step 4000/10000, Batch Size = 128, Examples/Sec = 17134.91, Accuracy = 1.00, Loss = 0.001
[2019-04-28 00:40] Train Step 4100/10000, Batch Size = 128, Examples/Sec = 17180.97, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 4200/10000, Batch Size = 128, Examples/Sec = 17099.98, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 4300/10000, Batch Size = 128, Examples/Sec = 17049.47, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 4400/10000, Batch Size = 128, Examples/Sec = 17123.43, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 4500/10000, Batch Size = 128, Examples/Sec = 16914.65, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 4600/10000, Batch Size = 128, Examples/Sec = 17119.06, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:40] Train Step 4700/10000, Batch Size = 128, Examples/Sec = 17065.19, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 4800/10000, Batch Size = 128, Examples/Sec = 17209.06, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 4900/10000, Batch Size = 128, Examples/Sec = 17143.11, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5000/10000, Batch Size = 128, Examples/Sec = 17005.19, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5100/10000, Batch Size = 128, Examples/Sec = 17166.14, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5200/10000, Batch Size = 128, Examples/Sec = 17012.20, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5300/10000, Batch Size = 128, Examples/Sec = 17040.82, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5400/10000, Batch Size = 128, Examples/Sec = 17163.94, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5500/10000, Batch Size = 128, Examples/Sec = 17056.52, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5600/10000, Batch Size = 128, Examples/Sec = 17028.38, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5700/10000, Batch Size = 128, Examples/Sec = 17157.91, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5800/10000, Batch Size = 128, Examples/Sec = 17039.73, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 5900/10000, Batch Size = 128, Examples/Sec = 16999.27, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 6000/10000, Batch Size = 128, Examples/Sec = 16869.47, Accuracy = 0.52, Loss = 1.915
[2019-04-28 00:41] Train Step 6100/10000, Batch Size = 128, Examples/Sec = 16846.18, Accuracy = 0.93, Loss = 0.112
[2019-04-28 00:41] Train Step 6200/10000, Batch Size = 128, Examples/Sec = 17098.89, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 6300/10000, Batch Size = 128, Examples/Sec = 17123.98, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 6400/10000, Batch Size = 128, Examples/Sec = 17076.59, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 6500/10000, Batch Size = 128, Examples/Sec = 17045.14, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 6600/10000, Batch Size = 128, Examples/Sec = 17070.62, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 6700/10000, Batch Size = 128, Examples/Sec = 17067.36, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 6800/10000, Batch Size = 128, Examples/Sec = 17048.39, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 6900/10000, Batch Size = 128, Examples/Sec = 17045.69, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7000/10000, Batch Size = 128, Examples/Sec = 17123.43, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7100/10000, Batch Size = 128, Examples/Sec = 17194.73, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7200/10000, Batch Size = 128, Examples/Sec = 17032.17, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7300/10000, Batch Size = 128, Examples/Sec = 17058.14, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7400/10000, Batch Size = 128, Examples/Sec = 17053.27, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7500/10000, Batch Size = 128, Examples/Sec = 17019.75, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7600/10000, Batch Size = 128, Examples/Sec = 17186.47, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7700/10000, Batch Size = 128, Examples/Sec = 17143.66, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7800/10000, Batch Size = 128, Examples/Sec = 17117.42, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 7900/10000, Batch Size = 128, Examples/Sec = 17019.21, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 8000/10000, Batch Size = 128, Examples/Sec = 17151.88, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 8100/10000, Batch Size = 128, Examples/Sec = 17006.27, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 8200/10000, Batch Size = 128, Examples/Sec = 17083.65, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 8300/10000, Batch Size = 128, Examples/Sec = 16988.51, Accuracy = 0.84, Loss = 0.504
[2019-04-28 00:41] Train Step 8400/10000, Batch Size = 128, Examples/Sec = 16898.68, Accuracy = 0.90, Loss = 0.274
[2019-04-28 00:41] Train Step 8500/10000, Batch Size = 128, Examples/Sec = 16902.93, Accuracy = 1.00, Loss = 0.018
[2019-04-28 00:41] Train Step 8600/10000, Batch Size = 128, Examples/Sec = 17130.53, Accuracy = 1.00, Loss = 0.002
[2019-04-28 00:41] Train Step 8700/10000, Batch Size = 128, Examples/Sec = 17321.21, Accuracy = 1.00, Loss = 0.001
[2019-04-28 00:41] Train Step 8800/10000, Batch Size = 128, Examples/Sec = 17299.44, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 8900/10000, Batch Size = 128, Examples/Sec = 17332.95, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 9000/10000, Batch Size = 128, Examples/Sec = 17416.74, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 9100/10000, Batch Size = 128, Examples/Sec = 16992.81, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 9200/10000, Batch Size = 128, Examples/Sec = 16970.25, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 9300/10000, Batch Size = 128, Examples/Sec = 16947.22, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 9400/10000, Batch Size = 128, Examples/Sec = 17104.88, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 9500/10000, Batch Size = 128, Examples/Sec = 17053.81, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:41] Train Step 9600/10000, Batch Size = 128, Examples/Sec = 17004.11, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:42] Train Step 9700/10000, Batch Size = 128, Examples/Sec = 16991.74, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:42] Train Step 9800/10000, Batch Size = 128, Examples/Sec = 16794.54, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:42] Train Step 9900/10000, Batch Size = 128, Examples/Sec = 16892.29, Accuracy = 1.00, Loss = 0.000
[2019-04-28 00:42] Train Step 10000/10000, Batch Size = 128, Examples/Sec = 16807.68, Accuracy = 1.00, Loss = 0.000
Done training.
Sentence length: 6
[2019-04-28 00:42] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 15170.56, Accuracy = 0.09, Loss = 2.303
[2019-04-28 00:42] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 15210.96, Accuracy = 0.54, Loss = 1.243
[2019-04-28 00:42] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 15189.87, Accuracy = 0.44, Loss = 1.127
[2019-04-28 00:42] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 15442.86, Accuracy = 0.49, Loss = 1.077
[2019-04-28 00:42] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 15554.71, Accuracy = 0.59, Loss = 0.851
