Sentence length: 5
[2019-05-01 17:53] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 1887.12, Accuracy = 0.13, Loss = 2.303
[2019-05-01 17:53] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 4552.26, Accuracy = 0.27, Loss = 1.476
[2019-05-01 17:53] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 4506.52, Accuracy = 0.47, Loss = 1.103
[2019-05-01 17:53] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 4522.73, Accuracy = 0.71, Loss = 0.771
[2019-05-01 17:54] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 4510.61, Accuracy = 0.77, Loss = 0.614
[2019-05-01 17:54] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 4510.31, Accuracy = 0.92, Loss = 0.399
[2019-05-01 17:54] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 4518.66, Accuracy = 0.93, Loss = 0.298
[2019-05-01 17:54] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 4524.52, Accuracy = 0.95, Loss = 0.229
[2019-05-01 17:54] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 4554.00, Accuracy = 0.95, Loss = 0.160
[2019-05-01 17:54] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 4590.17, Accuracy = 0.95, Loss = 0.158
[2019-05-01 17:54] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 4588.84, Accuracy = 1.00, Loss = 0.086
Done training.
Sentence length: 6
[2019-05-01 17:54] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 3861.63, Accuracy = 0.16, Loss = 2.303
[2019-05-01 17:54] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 3919.68, Accuracy = 0.20, Loss = 1.937
[2019-05-01 17:54] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 3818.45, Accuracy = 0.47, Loss = 1.408
[2019-05-01 17:54] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 3843.19, Accuracy = 0.34, Loss = 1.160
[2019-05-01 17:54] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 3880.30, Accuracy = 0.53, Loss = 0.901
[2019-05-01 17:54] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 3880.64, Accuracy = 0.47, Loss = 0.862
[2019-05-01 17:54] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 3867.67, Accuracy = 0.57, Loss = 0.804
[2019-05-01 17:54] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 3874.23, Accuracy = 0.80, Loss = 0.358
[2019-05-01 17:54] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 3872.80, Accuracy = 0.78, Loss = 0.391
[2019-05-01 17:55] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 3878.79, Accuracy = 0.96, Loss = 0.168
[2019-05-01 17:55] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 3868.06, Accuracy = 0.84, Loss = 0.290
[2019-05-01 17:55] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 3874.48, Accuracy = 1.00, Loss = 0.102
[2019-05-01 17:55] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 3871.27, Accuracy = 0.98, Loss = 0.087
[2019-05-01 17:55] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 3886.62, Accuracy = 1.00, Loss = 0.013
Done training.
Sentence length: 7
[2019-05-01 17:55] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 3347.14, Accuracy = 0.10, Loss = 2.303
[2019-05-01 17:55] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 3392.14, Accuracy = 0.16, Loss = 2.055
[2019-05-01 17:55] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 3329.99, Accuracy = 0.51, Loss = 1.215
[2019-05-01 17:55] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 3335.22, Accuracy = 0.66, Loss = 0.947
[2019-05-01 17:55] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 3329.87, Accuracy = 0.42, Loss = 0.875
[2019-05-01 17:55] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 3329.02, Accuracy = 0.37, Loss = 0.982
[2019-05-01 17:55] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 3328.52, Accuracy = 0.49, Loss = 0.787
[2019-05-01 17:55] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 3358.70, Accuracy = 0.99, Loss = 0.301
[2019-05-01 17:55] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 3361.09, Accuracy = 1.00, Loss = 0.244
[2019-05-01 17:55] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 3368.94, Accuracy = 0.84, Loss = 0.313
[2019-05-01 17:56] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 3362.04, Accuracy = 0.92, Loss = 0.189
[2019-05-01 17:56] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 3380.14, Accuracy = 1.00, Loss = 0.075
[2019-05-01 17:56] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 3386.60, Accuracy = 1.00, Loss = 0.026
Done training.
Sentence length: 8
[2019-05-01 17:56] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 2866.89, Accuracy = 0.16, Loss = 2.302
[2019-05-01 17:56] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 2996.23, Accuracy = 0.10, Loss = 2.307
[2019-05-01 17:56] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 2951.96, Accuracy = 0.23, Loss = 1.868
[2019-05-01 17:56] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 2949.32, Accuracy = 0.31, Loss = 1.655
[2019-05-01 17:56] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 2939.09, Accuracy = 0.41, Loss = 1.325
[2019-05-01 17:56] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 2939.36, Accuracy = 0.49, Loss = 1.025
[2019-05-01 17:56] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 2940.98, Accuracy = 0.59, Loss = 0.803
[2019-05-01 17:56] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 2938.81, Accuracy = 0.71, Loss = 0.670
[2019-05-01 17:56] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 2935.77, Accuracy = 0.70, Loss = 0.664
[2019-05-01 17:56] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 2941.24, Accuracy = 0.87, Loss = 0.294
[2019-05-01 17:57] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 2948.04, Accuracy = 0.74, Loss = 0.408
[2019-05-01 17:57] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 2935.68, Accuracy = 0.98, Loss = 0.157
[2019-05-01 17:57] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 2932.02, Accuracy = 0.84, Loss = 0.234
[2019-05-01 17:57] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 2939.92, Accuracy = 0.87, Loss = 0.230
[2019-05-01 17:57] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 2937.64, Accuracy = 1.00, Loss = 0.103
[2019-05-01 17:57] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 2936.46, Accuracy = 0.96, Loss = 0.125
[2019-05-01 17:57] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 2936.88, Accuracy = 0.96, Loss = 0.121
[2019-05-01 17:57] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 2932.63, Accuracy = 1.00, Loss = 0.079
Done training.
Sentence length: 9
[2019-05-01 17:57] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 2663.64, Accuracy = 0.14, Loss = 2.303
[2019-05-01 17:57] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 2655.59, Accuracy = 0.26, Loss = 1.449
[2019-05-01 17:57] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 2664.46, Accuracy = 0.59, Loss = 0.883
[2019-05-01 17:57] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 2666.37, Accuracy = 0.91, Loss = 0.603
[2019-05-01 17:58] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 2665.24, Accuracy = 0.95, Loss = 0.445
[2019-05-01 17:58] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 2636.39, Accuracy = 0.82, Loss = 0.519
[2019-05-01 17:58] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 2640.94, Accuracy = 0.28, Loss = 1.291
[2019-05-01 17:58] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 2636.37, Accuracy = 0.52, Loss = 0.823
[2019-05-01 17:58] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 2632.44, Accuracy = 0.77, Loss = 0.624
