Sentence length: 5
[2019-04-30 15:39] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 906.75, Accuracy = 0.08, Loss = 2.303
[2019-04-30 15:39] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 3910.94, Accuracy = 0.42, Loss = 1.225
[2019-04-30 15:39] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 3913.94, Accuracy = 0.63, Loss = 0.854
[2019-04-30 15:39] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 3902.50, Accuracy = 0.69, Loss = 0.669
[2019-04-30 15:39] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 3903.95, Accuracy = 0.83, Loss = 0.507
[2019-04-30 15:39] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 3907.47, Accuracy = 0.88, Loss = 0.397
[2019-04-30 15:39] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 3943.40, Accuracy = 0.71, Loss = 0.467
[2019-04-30 15:40] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 3956.66, Accuracy = 0.84, Loss = 0.295
[2019-04-30 15:40] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 3926.53, Accuracy = 0.92, Loss = 0.235
[2019-04-30 15:40] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 3946.91, Accuracy = 1.00, Loss = 0.095
Done training.
Sentence length: 6
[2019-04-30 15:40] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 3322.76, Accuracy = 0.12, Loss = 2.303
[2019-04-30 15:40] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 3326.26, Accuracy = 0.16, Loss = 1.829
[2019-04-30 15:40] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 3318.61, Accuracy = 0.45, Loss = 1.236
[2019-04-30 15:40] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 3321.03, Accuracy = 0.36, Loss = 1.150
[2019-04-30 15:40] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 3352.11, Accuracy = 0.33, Loss = 0.971
[2019-04-30 15:40] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 3343.43, Accuracy = 0.88, Loss = 0.513
[2019-04-30 15:40] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 3342.07, Accuracy = 0.98, Loss = 0.329
[2019-04-30 15:40] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 3349.62, Accuracy = 1.00, Loss = 0.196
[2019-04-30 15:40] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 3342.03, Accuracy = 1.00, Loss = 0.139
[2019-04-30 15:40] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 3345.91, Accuracy = 0.90, Loss = 0.225
[2019-04-30 15:40] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 3348.24, Accuracy = 1.00, Loss = 0.099
[2019-04-30 15:41] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 3329.45, Accuracy = 0.99, Loss = 0.059
[2019-04-30 15:41] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 3351.25, Accuracy = 0.96, Loss = 0.148
Done training.
Sentence length: 7
[2019-04-30 15:41] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 2893.48, Accuracy = 0.08, Loss = 2.303
[2019-04-30 15:41] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 2934.73, Accuracy = 0.19, Loss = 1.961
[2019-04-30 15:41] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 2455.29, Accuracy = 0.34, Loss = 1.476
[2019-04-30 15:41] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 2877.08, Accuracy = 0.50, Loss = 1.081
[2019-04-30 15:41] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 2886.60, Accuracy = 0.64, Loss = 0.800
[2019-04-30 15:41] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 2887.89, Accuracy = 0.86, Loss = 0.560
[2019-04-30 15:41] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 2878.94, Accuracy = 0.97, Loss = 0.299
[2019-04-30 15:41] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 2886.70, Accuracy = 0.99, Loss = 0.207
[2019-04-30 15:41] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 2906.56, Accuracy = 0.99, Loss = 0.133
[2019-04-30 15:41] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 2903.17, Accuracy = 0.87, Loss = 0.257
[2019-04-30 15:42] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 2902.18, Accuracy = 0.99, Loss = 0.098
[2019-04-30 15:42] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 2905.35, Accuracy = 0.99, Loss = 0.102
[2019-04-30 15:42] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 2902.81, Accuracy = 0.99, Loss = 0.075
Done training.
Sentence length: 8
[2019-04-30 15:42] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 2491.48, Accuracy = 0.10, Loss = 2.303
[2019-04-30 15:42] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 2587.57, Accuracy = 0.09, Loss = 2.303
[2019-04-30 15:42] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 2593.49, Accuracy = 0.12, Loss = 2.302
