Sentence length: 5
[2019-05-01 18:22] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 1388.63, Accuracy = 0.09, Loss = 2.303
[2019-05-01 18:22] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 16868.41, Accuracy = 0.41, Loss = 1.172
[2019-05-01 18:22] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 17012.20, Accuracy = 0.64, Loss = 0.862
[2019-05-01 18:22] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 16961.14, Accuracy = 0.79, Loss = 0.584
[2019-05-01 18:23] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 16998.19, Accuracy = 0.80, Loss = 0.432
[2019-05-01 18:23] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 17054.35, Accuracy = 0.68, Loss = 0.539
[2019-05-01 18:23] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 17044.60, Accuracy = 0.70, Loss = 0.469
[2019-05-01 18:23] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 16939.20, Accuracy = 0.80, Loss = 0.315
[2019-05-01 18:23] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 17045.69, Accuracy = 0.88, Loss = 0.209
[2019-05-01 18:23] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 16920.51, Accuracy = 0.93, Loss = 0.113
[2019-05-01 18:23] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 16997.65, Accuracy = 1.00, Loss = 0.067
[2019-05-01 18:23] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 17178.22, Accuracy = 1.00, Loss = 0.018
Done training.
Sentence length: 6
[2019-05-01 18:23] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 15307.68, Accuracy = 0.10, Loss = 2.303
[2019-05-01 18:23] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 15482.05, Accuracy = 0.59, Loss = 0.995
[2019-05-01 18:23] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 15179.57, Accuracy = 0.76, Loss = 0.613
[2019-05-01 18:23] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 15169.70, Accuracy = 0.79, Loss = 0.470
[2019-05-01 18:23] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 15151.29, Accuracy = 0.83, Loss = 0.363
[2019-05-01 18:23] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 15027.04, Accuracy = 0.89, Loss = 0.239
[2019-05-01 18:23] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 15127.39, Accuracy = 1.00, Loss = 0.168
[2019-05-01 18:23] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 15229.95, Accuracy = 0.96, Loss = 0.110
[2019-05-01 18:23] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 15070.06, Accuracy = 0.90, Loss = 0.181
[2019-05-01 18:23] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 15090.39, Accuracy = 0.98, Loss = 0.097
[2019-05-01 18:23] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 15001.00, Accuracy = 0.98, Loss = 0.097
[2019-05-01 18:23] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 14876.30, Accuracy = 0.98, Loss = 0.066
[2019-05-01 18:23] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 15081.49, Accuracy = 1.00, Loss = 0.013
Done training.
Sentence length: 7
[2019-05-01 18:23] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 13508.57, Accuracy = 0.09, Loss = 2.303
[2019-05-01 18:23] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 13824.41, Accuracy = 0.42, Loss = 1.267
[2019-05-01 18:23] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 13522.17, Accuracy = 0.44, Loss = 1.024
[2019-05-01 18:23] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 13533.08, Accuracy = 0.55, Loss = 0.853
[2019-05-01 18:23] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 13526.94, Accuracy = 0.55, Loss = 0.729
[2019-05-01 18:23] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 13496.34, Accuracy = 0.53, Loss = 0.801
[2019-05-01 18:23] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 13589.95, Accuracy = 0.60, Loss = 0.563
[2019-05-01 18:23] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 13517.75, Accuracy = 0.68, Loss = 0.481
[2019-05-01 18:23] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 13537.86, Accuracy = 0.94, Loss = 0.222
[2019-05-01 18:23] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 13521.15, Accuracy = 0.87, Loss = 0.253
[2019-05-01 18:23] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 13532.74, Accuracy = 0.86, Loss = 0.166
[2019-05-01 18:23] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 13571.40, Accuracy = 0.87, Loss = 0.199
[2019-05-01 18:23] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 13541.96, Accuracy = 0.99, Loss = 0.121
[2019-05-01 18:23] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 13515.37, Accuracy = 0.91, Loss = 0.143
[2019-05-01 18:23] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 13525.92, Accuracy = 0.91, Loss = 0.213
[2019-05-01 18:23] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 13644.52, Accuracy = 0.91, Loss = 0.173
[2019-05-01 18:23] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 13519.79, Accuracy = 1.00, Loss = 0.011
Done training.
Sentence length: 8
[2019-05-01 18:24] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 12221.61, Accuracy = 0.11, Loss = 2.302
[2019-05-01 18:24] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 12499.90, Accuracy = 0.26, Loss = 1.862
[2019-05-01 18:24] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 12374.00, Accuracy = 0.32, Loss = 1.576
[2019-05-01 18:24] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 12512.43, Accuracy = 0.56, Loss = 1.189
[2019-05-01 18:24] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 12411.19, Accuracy = 0.70, Loss = 0.878
[2019-05-01 18:24] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 12350.38, Accuracy = 0.65, Loss = 0.697
[2019-05-01 18:24] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 12399.73, Accuracy = 0.66, Loss = 0.623
[2019-05-01 18:24] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 12461.61, Accuracy = 0.73, Loss = 0.462
[2019-05-01 18:24] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 12382.85, Accuracy = 0.80, Loss = 0.425
[2019-05-01 18:24] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 12501.94, Accuracy = 0.96, Loss = 0.127
[2019-05-01 18:24] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 12450.62, Accuracy = 0.83, Loss = 0.270
[2019-05-01 18:24] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 12438.22, Accuracy = 0.80, Loss = 0.314
[2019-05-01 18:24] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 12420.95, Accuracy = 0.93, Loss = 0.127
[2019-05-01 18:24] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 12502.52, Accuracy = 1.00, Loss = 0.051
[2019-05-01 18:24] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 12443.41, Accuracy = 1.00, Loss = 0.019
Done training.
Sentence length: 9
[2019-05-01 18:24] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 11190.17, Accuracy = 0.11, Loss = 2.301
[2019-05-01 18:24] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 11361.87, Accuracy = 0.16, Loss = 1.973
[2019-05-01 18:24] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 11335.72, Accuracy = 0.34, Loss = 1.473
[2019-05-01 18:24] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 11275.01, Accuracy = 0.59, Loss = 1.079
[2019-05-01 18:24] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 11257.75, Accuracy = 0.74, Loss = 0.715
[2019-05-01 18:24] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 11210.97, Accuracy = 0.63, Loss = 0.690
[2019-05-01 18:24] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 11289.47, Accuracy = 0.84, Loss = 0.451
[2019-05-01 18:24] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 11257.28, Accuracy = 0.88, Loss = 0.388
[2019-05-01 18:24] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 11197.64, Accuracy = 0.80, Loss = 0.424
[2019-05-01 18:24] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 11153.44, Accuracy = 0.56, Loss = 1.198
[2019-05-01 18:24] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 11165.50, Accuracy = 0.84, Loss = 0.265
[2019-05-01 18:24] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 11128.24, Accuracy = 0.75, Loss = 0.432
[2019-05-01 18:24] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 11129.40, Accuracy = 0.99, Loss = 0.158
[2019-05-01 18:24] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 11130.78, Accuracy = 1.00, Loss = 0.111
[2019-05-01 18:24] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 11145.11, Accuracy = 1.00, Loss = 0.021
Done training.
Sentence length: 10
[2019-05-01 18:24] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 10219.69, Accuracy = 0.13, Loss = 2.303
[2019-05-01 18:24] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 10417.40, Accuracy = 0.26, Loss = 1.892
[2019-05-01 18:24] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 10393.20, Accuracy = 0.23, Loss = 1.691
[2019-05-01 18:24] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 10303.64, Accuracy = 0.59, Loss = 1.069
[2019-05-01 18:24] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 10290.40, Accuracy = 0.52, Loss = 1.027
[2019-05-01 18:25] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 10305.61, Accuracy = 0.79, Loss = 0.692
[2019-05-01 18:25] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 10228.45, Accuracy = 0.67, Loss = 0.656
[2019-05-01 18:25] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 10266.00, Accuracy = 0.56, Loss = 1.045
[2019-05-01 18:25] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 10300.87, Accuracy = 0.86, Loss = 0.360
[2019-05-01 18:25] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 10322.06, Accuracy = 0.88, Loss = 0.326
[2019-05-01 18:25] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 10285.67, Accuracy = 0.66, Loss = 0.618
[2019-05-01 18:25] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 10368.91, Accuracy = 0.85, Loss = 0.275
[2019-05-01 18:25] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 10325.83, Accuracy = 0.70, Loss = 0.394
[2019-05-01 18:25] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 10278.19, Accuracy = 0.91, Loss = 0.217
[2019-05-01 18:25] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 10376.72, Accuracy = 0.91, Loss = 0.148
