Sentence length: 5
[2019-04-28 15:54] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 4534.31, Accuracy = 0.06, Loss = 2.303
[2019-04-28 15:54] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 19061.63, Accuracy = 0.44, Loss = 1.258
[2019-04-28 15:54] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 13011.27, Accuracy = 0.64, Loss = 0.807
[2019-04-28 15:54] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 15958.83, Accuracy = 0.66, Loss = 0.670
[2019-04-28 15:54] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 15453.97, Accuracy = 0.71, Loss = 0.538
[2019-04-28 15:54] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 11274.54, Accuracy = 0.88, Loss = 0.280
[2019-04-28 15:54] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 5554.51, Accuracy = 0.97, Loss = 0.195
[2019-04-28 15:54] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 5149.30, Accuracy = 0.81, Loss = 0.378
[2019-04-28 15:54] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 9516.29, Accuracy = 0.89, Loss = 0.206
[2019-04-28 15:54] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 15375.19, Accuracy = 0.98, Loss = 0.138
[2019-04-28 15:54] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 15408.29, Accuracy = 0.88, Loss = 0.184
[2019-04-28 15:54] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 14908.53, Accuracy = 0.95, Loss = 0.083
[2019-04-28 15:54] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 11420.84, Accuracy = 1.00, Loss = 0.006
[2019-04-28 15:54] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 18957.31, Accuracy = 1.00, Loss = 0.003
[2019-04-28 15:55] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 9015.92, Accuracy = 1.00, Loss = 0.002
[2019-04-28 15:55] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 18474.57, Accuracy = 1.00, Loss = 0.001
[2019-04-28 15:55] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 18375.92, Accuracy = 1.00, Loss = 0.001
[2019-04-28 15:55] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 18773.02, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 1800/10000, Batch Size = 128, Examples/Sec = 5225.17, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 1900/10000, Batch Size = 128, Examples/Sec = 19041.35, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2000/10000, Batch Size = 128, Examples/Sec = 11165.97, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2100/10000, Batch Size = 128, Examples/Sec = 19093.50, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2200/10000, Batch Size = 128, Examples/Sec = 13156.34, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2300/10000, Batch Size = 128, Examples/Sec = 19521.87, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2400/10000, Batch Size = 128, Examples/Sec = 6618.64, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2500/10000, Batch Size = 128, Examples/Sec = 9197.09, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2600/10000, Batch Size = 128, Examples/Sec = 8747.39, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2700/10000, Batch Size = 128, Examples/Sec = 12973.54, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2800/10000, Batch Size = 128, Examples/Sec = 19103.01, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 2900/10000, Batch Size = 128, Examples/Sec = 15786.14, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 3000/10000, Batch Size = 128, Examples/Sec = 9726.80, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 3100/10000, Batch Size = 128, Examples/Sec = 14918.05, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 3200/10000, Batch Size = 128, Examples/Sec = 12914.24, Accuracy = 1.00, Loss = 0.000
[2019-04-28 15:55] Train Step 3300/10000, Batch Size = 128, Examples/Sec = 7765.54, Accuracy = 0.05, Loss = 7.409
[2019-04-28 15:55] Train Step 3400/10000, Batch Size = 128, Examples/Sec = 18988.82, Accuracy = 0.77, Loss = 0.566
[2019-04-28 15:55] Train Step 3500/10000, Batch Size = 128, Examples/Sec = 19444.80, Accuracy = 0.72, Loss = 0.454
[2019-04-28 15:55] Train Step 3600/10000, Batch Size = 128, Examples/Sec = 19168.48, Accuracy = 0.86, Loss = 0.240
[2019-04-28 15:55] Train Step 3700/10000, Batch Size = 128, Examples/Sec = 15728.79, Accuracy = 0.98, Loss = 0.102
[2019-04-28 15:55] Train Step 3800/10000, Batch Size = 128, Examples/Sec = 12779.90, Accuracy = 1.00, Loss = 0.065
[2019-04-28 15:55] Train Step 3900/10000, Batch Size = 128, Examples/Sec = 15779.18, Accuracy = 1.00, Loss = 0.025
[2019-04-28 15:55] Train Step 4000/10000, Batch Size = 128, Examples/Sec = 15903.05, Accuracy = 1.00, Loss = 0.011
[2019-04-28 15:55] Train Step 4100/10000, Batch Size = 128, Examples/Sec = 18047.29, Accuracy = 1.00, Loss = 0.008
[2019-04-28 15:55] Train Step 4200/10000, Batch Size = 128, Examples/Sec = 12772.30, Accuracy = 1.00, Loss = 0.004
[2019-04-28 15:55] Train Step 4300/10000, Batch Size = 128, Examples/Sec = 19669.92, Accuracy = 1.00, Loss = 0.003
[2019-04-28 15:55] Train Step 4400/10000, Batch Size = 128, Examples/Sec = 15727.41, Accuracy = 1.00, Loss = 0.002
[2019-04-28 15:55] Train Step 4500/10000, Batch Size = 128, Examples/Sec = 9144.45, Accuracy = 1.00, Loss = 0.001
[2019-04-28 15:55] Train Step 4600/10000, Batch Size = 128, Examples/Sec = 19094.85, Accuracy = 1.00, Loss = 0.001
[2019-04-28 15:55] Train Step 4700/10000, Batch Size = 128, Examples/Sec = 5563.26, Accuracy = 1.00, Loss = 0.000
