[2019-04-27 23:33] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 2604.89, Accuracy = 0.08, Loss = 2.304
[2019-04-27 23:33] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 16815.58, Accuracy = 0.18, Loss = 2.008
[2019-04-27 23:33] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 14312.74, Accuracy = 0.28, Loss = 1.633
[2019-04-27 23:33] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 17185.37, Accuracy = 0.24, Loss = 1.760
[2019-04-27 23:33] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 14196.55, Accuracy = 0.39, Loss = 1.372
[2019-04-27 23:33] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 17010.04, Accuracy = 0.39, Loss = 1.380
[2019-04-27 23:33] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 17291.64, Accuracy = 0.37, Loss = 1.502
[2019-04-27 23:33] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 13947.23, Accuracy = 0.55, Loss = 1.117
[2019-04-27 23:33] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 17163.39, Accuracy = 0.50, Loss = 1.207
[2019-04-27 23:33] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 10964.38, Accuracy = 0.61, Loss = 1.030
[2019-04-27 23:33] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 14442.50, Accuracy = 0.54, Loss = 1.044
[2019-04-27 23:33] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 16989.59, Accuracy = 0.53, Loss = 1.038
[2019-04-27 23:33] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 15117.59, Accuracy = 0.69, Loss = 0.896
[2019-04-27 23:33] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 16771.45, Accuracy = 0.71, Loss = 0.835
[2019-04-27 23:33] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 13945.42, Accuracy = 0.67, Loss = 0.824
[2019-04-27 23:33] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 17099.98, Accuracy = 0.70, Loss = 0.803
[2019-04-27 23:33] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 11086.65, Accuracy = 0.71, Loss = 0.741
[2019-04-27 23:33] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 17128.89, Accuracy = 0.65, Loss = 0.773
[2019-04-27 23:33] Train Step 0180/10000, Batch Size = 128, Examples/Sec = 17018.67, Accuracy = 0.73, Loss = 0.682
[2019-04-27 23:33] Train Step 0190/10000, Batch Size = 128, Examples/Sec = 17100.52, Accuracy = 0.73, Loss = 0.702
[2019-04-27 23:33] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 17148.04, Accuracy = 0.79, Loss = 0.651
[2019-04-27 23:33] Train Step 0210/10000, Batch Size = 128, Examples/Sec = 11300.88, Accuracy = 0.81, Loss = 0.577
[2019-04-27 23:33] Train Step 0220/10000, Batch Size = 128, Examples/Sec = 17098.34, Accuracy = 0.80, Loss = 0.570
[2019-04-27 23:33] Train Step 0230/10000, Batch Size = 128, Examples/Sec = 17057.06, Accuracy = 0.86, Loss = 0.537
[2019-04-27 23:33] Train Step 0240/10000, Batch Size = 128, Examples/Sec = 17128.89, Accuracy = 0.86, Loss = 0.485
[2019-04-27 23:33] Train Step 0250/10000, Batch Size = 128, Examples/Sec = 17033.79, Accuracy = 0.92, Loss = 0.476
[2019-04-27 23:33] Train Step 0260/10000, Batch Size = 128, Examples/Sec = 17297.77, Accuracy = 0.95, Loss = 0.394
[2019-04-27 23:33] Train Step 0270/10000, Batch Size = 128, Examples/Sec = 17077.68, Accuracy = 0.93, Loss = 0.433
